LEASE,API_NUMBER,OPERATOR,LATITUDE,LONGITUDE,MONTH-YEAR,PRODUCT,WELLS,PRODUCTION
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jan-85,O,1,332
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Feb-85,O,1,161
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Mar-85,O,1,147
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Apr-85,O,1,161
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,May-85,O,1,469
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jun-85,O,1,316
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jul-85,O,1,317
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Aug-85,O,1,318
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Sep-85,O,1,159
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Oct-85,O,1,153
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Nov-85,O,1,321
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jan-86,O,1,315
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Feb-86,O,1,154
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Mar-86,O,1,162
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Apr-86,O,1,156
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jun-86,O,1,159
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jul-86,O,1,158
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Aug-86,O,1,159
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Sep-86,O,1,158
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Nov-86,O,1,161
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jan-87,O,1,155
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Feb-88,O,1,319
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Apr-88,O,1,325
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,May-88,O,1,483
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jun-88,O,1,319
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jul-88,O,1,479
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Aug-88,O,1,479
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Sep-88,O,1,481
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Oct-88,O,1,649
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Nov-88,O,1,486
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Dec-88,O,1,488
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Apr-89,O,1,162
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Jul-89,O,1,474
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Aug-89,O,1,479
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Sep-89,O,1,482
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Oct-89,O,1,640
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Nov-89,O,1,322
SNYDER,"15-131-20143, 15-131-20089-0002 ","Elk Oil Enterprises, LLC",39.999519,-95.78905,Dec-89,O,1,325
LIVENGOOD, ,JOY & HUSTON,39.99117,-95.726806,Jan-80,O,1,79
LIVENGOOD, ,JOY & HUSTON,39.99117,-95.726806,Feb-80,O,1,82
LIVENGOOD, ,JOY & HUSTON,39.99117,-95.726806,Mar-80,O,1,82
LIVENGOOD, ,JOY & HUSTON,39.99117,-95.726806,May-80,O,1,84
LIVENGOOD, ,JOY & HUSTON,39.99117,-95.726806,Mar-82,O,1,161
